epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.10154,1.47956,3.0806,1.2223,0.01725,0.8961,0.22639,0.15483,1.20399,2.97109,1.0272,0.00018,0.00018,0.00018
2,5.41462,1.37395,1.65403,1.10055,0.01733,0.90043,0.20688,0.14154,1.19182,2.84307,1.01677,0.000376238,0.000376238,0.000376238
3,7.65697,1.33504,1.32546,1.06365,0.01725,0.8961,0.38358,0.25045,1.17577,2.76158,1.05328,0.000568516,0.000568516,0.000568516
4,9.92964,1.29103,1.21876,1.08416,0.01675,0.87013,0.29208,0.2054,1.16497,2.86094,1.07505,0.000756834,0.000756834,0.000756834
5,12.1465,1.25975,1.12663,1.03887,0.92326,0.3125,0.57529,0.36546,1.20799,2.57607,1.10534,0.000941192,0.000941192,0.000941192
6,14.4275,1.22408,1.08558,1.04697,0.97568,0.17369,0.51228,0.35737,1.22669,2.53406,1.14181,0.00112159,0.00112159,0.00112159
7,16.6574,1.19617,1.07017,1.04568,0.80277,0.12337,0.3317,0.217,1.2657,2.69095,1.15468,0.00129803,0.00129803,0.00129803
8,18.8875,1.21736,1.05017,1.05927,0.88474,0.26586,0.46586,0.31701,1.31361,2.51604,1.18332,0.00147051,0.00147051,0.00147051
9,21.1138,1.25604,1.00092,1.05289,0.80129,0.55411,0.65386,0.42608,1.27235,1.98363,1.16889,0.00163902,0.00163902,0.00163902
10,23.8249,1.21874,0.97097,1.026,0.81727,0.69697,0.74803,0.479,1.30415,1.67107,1.20216,0.00180358,0.00180358,0.00180358
11,26.2945,1.19102,0.95985,1.04446,0.78363,0.75254,0.77515,0.50699,1.21512,1.39827,1.11755,0.001802,0.001802,0.001802
12,28.5321,1.13504,0.91167,1.02324,0.77349,0.76623,0.80881,0.52796,1.26622,1.15625,1.15473,0.0017822,0.0017822,0.0017822
13,30.9977,1.18863,0.90789,1.0264,0.78011,0.73719,0.79055,0.50917,1.29757,1.19303,1.25465,0.0017624,0.0017624,0.0017624
14,33.2618,1.1799,0.89498,1.0433,0.78662,0.71814,0.77345,0.49175,1.25121,1.26001,1.17037,0.0017426,0.0017426,0.0017426
15,35.5012,1.17465,0.91979,1.03987,0.83277,0.7013,0.78401,0.51338,1.28132,1.20936,1.20019,0.0017228,0.0017228,0.0017228
16,37.7596,1.15858,0.8651,1.02404,0.80457,0.80519,0.82815,0.53745,1.20723,0.99984,1.14809,0.001703,0.001703,0.001703
17,40.0626,1.12582,0.81399,1.01162,0.80793,0.82684,0.83693,0.56589,1.15529,0.9319,1.13006,0.0016832,0.0016832,0.0016832
18,42.3619,1.12065,0.82395,1.02305,0.82951,0.82143,0.83063,0.55923,1.14894,0.91674,1.10942,0.0016634,0.0016634,0.0016634
19,44.5436,1.10459,0.82277,1.00703,0.85608,0.80519,0.84817,0.56768,1.16586,0.9075,1.11789,0.0016436,0.0016436,0.0016436
20,46.8685,1.1007,0.78475,0.98825,0.86468,0.8355,0.84793,0.56434,1.15072,0.92406,1.09491,0.0016238,0.0016238,0.0016238
21,49.0974,1.08299,0.78368,0.99941,0.88039,0.81385,0.86231,0.5901,1.16441,0.90759,1.11903,0.001604,0.001604,0.001604
22,51.7121,1.13413,0.78715,1.00543,0.84574,0.77489,0.82647,0.55756,1.15917,0.99407,1.10969,0.0015842,0.0015842,0.0015842
23,54.1398,1.08007,0.75658,0.99159,0.84851,0.77594,0.8101,0.55951,1.16502,1.08145,1.12071,0.0015644,0.0015644,0.0015644
24,56.3853,1.11704,0.78146,1.00802,0.83807,0.78416,0.82247,0.53037,1.14469,1.11518,1.12362,0.0015446,0.0015446,0.0015446
25,58.6619,1.07752,0.78959,0.99459,0.85046,0.83983,0.87092,0.59677,1.1133,0.93771,1.11953,0.0015248,0.0015248,0.0015248
26,61.0222,1.05189,0.73689,0.99454,0.83706,0.83983,0.84638,0.56236,1.13054,0.9804,1.08945,0.001505,0.001505,0.001505
27,63.2817,1.10009,0.75122,0.99182,0.80221,0.86035,0.85094,0.54267,1.18204,0.96494,1.11771,0.0014852,0.0014852,0.0014852
28,65.558,1.05653,0.7245,0.9662,0.87666,0.85714,0.87714,0.59635,1.17316,0.8549,1.13362,0.0014654,0.0014654,0.0014654
29,67.8238,1.06353,0.70201,0.993,0.86153,0.83496,0.86389,0.57589,1.18407,0.85966,1.12165,0.0014456,0.0014456,0.0014456
30,70.0875,1.03431,0.69306,0.96127,0.84852,0.82445,0.85259,0.58499,1.16083,0.9275,1.09161,0.0014258,0.0014258,0.0014258
31,72.3592,1.04695,0.71018,0.98393,0.84498,0.83117,0.85466,0.58996,1.16569,0.84685,1.09997,0.001406,0.001406,0.001406
32,74.8677,1.02709,0.68247,0.98227,0.8081,0.875,0.86062,0.59266,1.08754,0.85145,1.06189,0.0013862,0.0013862,0.0013862
33,77.6136,1.02381,0.6856,0.99239,0.88661,0.80952,0.86493,0.59592,1.08884,0.8295,1.08137,0.0013664,0.0013664,0.0013664
34,79.9921,1.02835,0.68837,0.97142,0.86477,0.84848,0.8751,0.60067,1.08917,0.78302,1.06878,0.0013466,0.0013466,0.0013466
35,83.3305,0.98826,0.67446,0.96817,0.87053,0.81503,0.86434,0.60331,1.10078,0.8654,1.08677,0.0013268,0.0013268,0.0013268
36,85.6307,1.00914,0.67434,0.96216,0.87959,0.82222,0.86924,0.60676,1.11869,0.78289,1.09396,0.001307,0.001307,0.001307
37,87.9317,1.03103,0.68483,0.9803,0.84108,0.83117,0.88154,0.58815,1.13797,0.79458,1.10064,0.0012872,0.0012872,0.0012872
38,90.2135,1.02396,0.66053,0.97295,0.87735,0.77416,0.86525,0.62003,1.12353,0.87723,1.11131,0.0012674,0.0012674,0.0012674
39,92.7878,0.98799,0.63544,0.96573,0.84476,0.82684,0.87235,0.619,1.10226,0.82173,1.10577,0.0012476,0.0012476,0.0012476
40,95.2535,0.99596,0.63341,0.9618,0.81977,0.84416,0.86822,0.59221,1.07141,0.84714,1.07848,0.0012278,0.0012278,0.0012278
41,97.6288,0.95892,0.62375,0.9429,0.82665,0.86704,0.87484,0.61096,1.05316,0.77994,1.06203,0.001208,0.001208,0.001208
42,99.9287,0.98704,0.62282,0.95923,0.86697,0.87446,0.8947,0.6334,1.10276,0.75639,1.09888,0.0011882,0.0011882,0.0011882
43,102.839,0.95032,0.61256,0.96256,0.87934,0.85281,0.89773,0.62142,1.08388,0.81138,1.09734,0.0011684,0.0011684,0.0011684
44,105.281,0.94727,0.61244,0.9467,0.89767,0.83117,0.89138,0.63578,1.07607,0.77537,1.07939,0.0011486,0.0011486,0.0011486
